COG0304	K09458
COG0571	K03685
COG1960	K00248
COG0234	K04078
COG0459	K04077
COG1614	K14138
COG1251	K00362
COG1529	K00087
COG1142	K00196
COG0369	K05601
COG1151	K05601
COG2203	K07814
COG5002	K07652
COG3437	K07814
COG2103	K07106
COG1629	K16089
COG4771	K16089
COG1075	K01046
COG0224	K02115
COG0463	K00721
COG0663	K01726
COG2030	K17865
COG2301	K01644
COG1541	K01912
COG0810	K03832
COG5305	K14340
COG3315	K19570
COG1852	K09729
COG2519	K07442
COG3894	K16183
COG0633	K04755
COG0388	K01950
COG0515	K08884
COG3899	K19690
COG1181	K01921
COG2271	K08177
COG1936	K18554
COG0322	K03703
COG0075	K00830
COG3379	K01138
COG3307	K18814
COG0428	K07238
COG0501	K03799
COG1408	K07098
COG1122	K16786
COG2920	K23077
COG1797	K02224
COG2221	K00533
COG0288	K01673
COG0007	K13542
COG1648	K02304
COG1164	K08602
COG0008	K09698
COG2234	K19701
COG2766	K07180
COG2718	K09786
COG2719	K06415
COG1268	K03523
COG1846	K06075
COG1596	K01991
COG2812	K02343
COG0718	K09747
COG0353	K06187
COG1144	K00171
COG1669	K07075
COG0558	K08744
COG1267	K01095
COG1219	K03544
COG0740	K01358
COG0544	K03545
COG4262	K00797
COG0509	K02437
COG0334	K00260
COG0491	K01069
COG1462	K06214
COG2001	K03925
COG0275	K03438
COG0768	K05515
COG0769	K01928
COG0770	K01929
COG0472	K01000
COG0772	K03588
COG0707	K02563
COG0773	K01924
COG0812	K00075
COG1589	K03589
COG0849	K03590
COG0206	K03531
COG3227	K01400
COG0489	K16554
COG3206	K16554
COG0392	K07027
COG1215	K00721
COG3394	K03478
COG1560	K02517
COG4637	K07459
COG3857	K16899
COG1074	K16898
COG2192	K00612
COG0568	K03086
COG0524	K00852
COG0300	K07124
COG4251	K11354
COG2202	K13587
COG1127	K02065
COG0767	K02066
COG4775	K07277
COG0755	K02497
COG0775	K01243
COG2768	K07138
COG1509	K01843
COG0189	K05844
COG5581	K21087
COG1695	K10947
COG3259	K17993
COG1639	K07181
COG1191	K02405
COG1298	K02400
COG1377	K02401
COG1684	K02421
COG3850	K07673
COG1987	K02420
COG1338	K02419
COG1315	K09749
COG3190	K02418
COG1776	K03410
COG1886	K02417
COG1868	K02416
COG1580	K02415
COG1582	K02385
COG1749	K02390
COG1843	K02389
COG3334	K02383
COG1157	K02412
COG1317	K02411
COG1536	K02410
COG1766	K02409
COG1677	K02408
COG1558	K02388
COG1815	K02387
COG1235	K06167
COG4773	K16090
COG0495	K01869
COG0599	K01607
COG0443	K04043
COG1285	K07507
COG4892	K17278
COG0861	K05794
COG3324	K06996
COG1368	K19005
COG0735	K03711
COG0284	K01591
COG0461	K00762
COG0229	K07305
COG0225	K07304
COG0479	K00240
COG0574	K01006
COG3848	K22579
COG0730	K07090
COG2197	K02479
COG0659	K03321
COG0471	K14445
COG0727	K06940
COG1053	K00239
COG2046	K00958
COG1908	K14127
COG1148	K03388
COG1150	K03390
COG0607	K21147
COG1143	K00338
COG0839	K00339
COG0713	K00340
COG1009	K00341
COG1008	K00342
COG2142	K00242
COG2009	K00241
COG1838	K01678
COG0537	K02503
COG0480	K02355
COG0749	K02335
COG1613	K23163
COG0555	K02046
COG4208	K02047
COG1118	K02045
COG1523	K01214
COG0370	K04759
COG1918	K04758
COG1556	K00782
COG0351	K00941
COG0611	K00946
COG0793	K03797
COG1995	K00097
COG0494	K01515
COG1702	K06217
COG0319	K07042
COG1253	K03699
COG1530	K08300
COG1533	K03716
COG0811	K03561
COG0848	K03559
COG0863	K07319
COG0477	K08153
COG0652	K03768
COG4221	K00059
COG1451	K07043
COG2814	K08153
COG0021	K00615
COG0166	K01810
COG0176	K08314
COG1011	K07025
COG0362	K00033
COG0364	K00036
COG0363	K02564
COG0395	K02026
COG1974	K01356
COG2177	K09811
COG2884	K09812
COG0669	K00954
COG2172	K04757
COG1366	K04749
COG3349	K02293
COG2252	K06901
COG3177	K04095
COG0379	K03517
COG1385	K09761
COG0828	K02970
COG2220	K03476
COG0037	K04075
COG0465	K03798
COG0302	K01495
COG0294	K00796
COG0777	K01963
COG0496	K03787
COG0518	K01951
COG0519	K01951
COG0449	K00820
COG0683	K01999
COG1606	K06864
COG1496	K05810
COG1968	K06153
COG2071	K07010
COG1466	K02340
COG1015	K01839
COG4576	K04028
COG0127	K02428
COG1104	K04487
COG1696	K19294
COG0702	K00329
COG0506	K00318
COG1131	K01990
COG1277	K19341
COG3225	K19681
COG1657	K06045
COG1196	K03529
COG1266	K07052
COG2385	K06381
COG0171	K01950
COG0313	K07056
COG0682	K13292
COG1225	K03564
COG0220	K03439
COG1597	K07029
COG0071	K13993
COG0226	K02040
COG0573	K02037
COG0581	K02038
COG1117	K02036
COG0704	K02039
COG3322	K07814
COG3043	K02568
COG0760	K03769
COG4380	K21008
COG1941	K17994
COG2327	K16710
COG1004	K00012
COG5360	K19052
COG0726	K22278
COG3267	K02450
COG3409	K08640
COG1331	K06888
COG0028	K01652
COG0853	K01579
COG0723	K02636
COG1290	K00412
COG0308	K01256
COG0696	K15633
COG2193	K03594
COG0344	K08591
COG0240	K00057
COG0017	K01893
COG1254	K01512
COG0503	K00759
COG0577	K05685
COG0177	K10773
COG0357	K03501
COG0445	K03495
COG0486	K03650
COG0706	K03217
COG0759	K08998
COG0230	K02914
COG0593	K02313
COG0592	K02338
COG2077	K11065
COG3621	K06900
COG0697	K03298
COG0187	K02470
COG0482	K00566
COG0413	K00606
COG0414	K01918
COG1207	K04042
COG0799	K09710
COG0018	K01887
COG0182	K08963
COG4783	K01423
COG0020	K00806
COG0277	K00104
COG2825	K06142
COG1044	K02536
COG0774	K02535
COG0764	K02372
COG1043	K00677
COG0095	K03800
COG0743	K00099
COG0750	K11749
COG0102	K02871
COG0103	K02996
COG0052	K02967
COG0264	K02357
COG0528	K09903
COG0233	K02838
COG1145	K03388
COG2065	K02825
COG0540	K00609
COG3276	K03833
COG1539	K01633
COG0801	K00950
COG2316	K06951
COG0034	K00764
COG0215	K01883
COG1209	K00973
COG2372	K14166
COG0836	K00971
COG1703	K07588
COG1680	K01286
COG1246	K00619
COG1884	K01848
COG1848	K07064
COG2185	K01849
COG0174	K01915
COG0605	K04564
COG1905	K18330
COG1894	K18331
COG0756	K01520
COG0436	K00812
COG1185	K00962
COG0184	K02956
COG0196	K11753
COG0130	K03177
COG0618	K06881
COG0858	K02834
COG0532	K02519
COG0195	K02600
COG0779	K09748
COG0598	K03284
COG1397	K05521
COG0389	K02346
COG1271	K00425
COG1294	K00426
COG1970	K03282
COG2309	K19689
COG1058	K03742
COG1514	K01975
COG0468	K03553
COG2137	K03565
COG2905	K07182
COG1598	K18843
COG0013	K01872
COG2350	K09780
COG1007	K00343
COG1055	K03893
COG0589	K06149
COG0441	K01868
COG0290	K02520
COG0291	K02916
COG0292	K02887
COG0016	K01889
COG0072	K01890
COG3027	K09888
COG1692	K09769
COG0656	K23257
COG2120	K01463
COG1063	K00008
COG2116	K21993
COG1217	K06207
COG2201	K03412
COG1352	K00575
COG3920	K00936
COG3290	K07706
COG0784	K13587
COG3452	K11527
COG3150	K07000
COG0797	K03642
COG0167	K17828
COG0492	K00384
COG0268	K02968
COG0516	K00088
COG3250	K01190
COG3033	K01667
COG1132	K11085
COG0009	K07566
COG0172	K01875
COG1048	K01681
COG4294	K13281
COG0114	K01679
COG2085	K06988
COG0514	K03654
COG0708	K01142
COG1592	K19824
COG0648	K01151
COG1230	K16264
COG1005	K00337
COG0778	K19286
COG1034	K00336
COG0649	K00333
COG0852	K00332
COG3264	K05802
COG0377	K00331
COG0838	K00330
COG0705	K19225
COG0739	K08259
COG0448	K00975
COG0626	K01761
COG1738	K09125
COG0733	K03308
COG1313	K04070
COG0350	K00567
COG0372	K01647
COG1452	K04744
COG1194	K03575
COG0701	K07089
COG0766	K00790
COG0497	K03631
COG3292	K19693
COG0054	K00794
COG0108	K14652
COG0807	K14652
COG0307	K00793
COG0117	K11752
COG1985	K11752
COG2048	K03389
COG4624	K18332
COG2000	K00533
COG3411	K22339
COG3293	K07492
COG1866	K01610
COG0280	K13788
COG1233	K09835
COG2146	K05710
COG2032	K04565
COG0693	K05520
COG1764	K04063
COG1926	K07100
COG0406	K15634
COG0366	K01208
COG1459	K02653
COG0170	K18678
COG5598	K14083
COG5012	K14084
COG0266	K10563
COG0433	K06915
COG0699	K06946
COG1304	K16422
COG3383	K05299
COG0148	K01689
COG0029	K00278
COG3956	K02499
COG1694	K02499
COG1584	K07034
COG1877	K01087
COG0380	K00697
COG3476	K05770
COG0824	K07107
COG0825	K01962
COG1086	K13013
COG3256	K04561
COG0668	K03442
COG3569	K03163
COG1724	K07339
COG1450	K02453
COG3880	K19411
COG4531	K00185
COG1999	K07152
COG1622	K02275
COG0843	K02274
COG1845	K02276
COG1612	K02259
COG0109	K02257
COG0556	K03702
COG0151	K01945
COG1966	K06200
COG0681	K03100
COG0286	K03427
COG0481	K03596
COG0203	K02879
COG0202	K03040
COG0522	K02986
COG0100	K02948
COG0099	K02952
COG0257	K02919
COG0361	K02518
COG0024	K01265
COG0563	K00939
COG0201	K03076
COG0200	K02876
COG1841	K02907
COG0098	K02988
COG0256	K02881
COG0097	K02933
COG0096	K02994
COG0199	K02954
COG0094	K02931
COG0198	K02895
COG0093	K02874
COG0186	K02961
COG0255	K02904
COG0197	K02878
COG0092	K02982
COG0091	K02890
COG0185	K02965
COG0090	K02886
COG0089	K02892
COG0088	K02926
COG0087	K02906
COG0051	K02946
COG0050	K02358
COG0188	K02469
COG2344	K01926
COG2382	K07214
COG0125	K00943
COG1088	K01710
COG1785	K01077
COG0709	K01008
COG2207	K07720
COG3449	K13652
COG0297	K00703
COG0803	K09815
COG1121	K09817
COG1108	K09816
COG3579	K01372
COG2810	K07504
COG1327	K07738
COG2131	K01493
COG0667	K05882
COG2972	K07718
COG2804	K02652
COG4796	K02666
COG4972	K02662
COG4726	K02673
COG2805	K02669
COG4249	K22684
COG0792	K07460
COG0164	K03470
COG0658	K02238
COG4589	K00981
COG1891	K09733
COG4651	K03455
COG1226	K03455
COG2986	K01745
COG0068	K04656
COG0355	K02114
COG0055	K02133
COG0056	K02111
COG0712	K02113
COG0711	K02109
COG0636	K02110
COG0356	K02108
COG0525	K01873
COG1376	K16291
COG1291	K02556
COG1360	K02557
COG1220	K03667
COG5405	K01419
COG2155	K09779
COG3667	K07233
COG2132	K22552
COG1193	K07456
COG1800	K07218
COG3387	K22934
COG1490	K07560
COG1282	K00325
COG3288	K00324
COG2217	K17686
COG3568	K06896
COG1971	K23242
COG1809	K08097
COG2079	K17724
COG1525	K01174
COG1830	K11645
COG2195	K01258
COG0359	K02939
COG0238	K02963
COG0629	K03111
COG0360	K02990
COG3808	K15987
COG0193	K01056
COG1825	K02897
COG0462	K00948
COG2088	K06412
COG1947	K00919
COG1674	K03466
COG2045	K05979
COG0404	K00605
COG0536	K03979
COG0409	K04654
COG0298	K04653
COG0178	K03701
COG2096	K00798
COG0309	K04655
COG1725	K07979
COG0235	K01628
COG0569	K03499
COG0168	K03498
COG0533	K01409
COG1814	K22736
COG1080	K01006
COG1641	K09121
COG0245	K12506
COG1211	K00991
COG0809	K07568
COG1895	K09132
COG0046	K23269
COG2985	K07085
COG1832	K06929
COG2730	K05991
COG1051	K03574
COG5009	K05366
COG2908	K03269
COG2109	K19221
COG0822	K04488
COG1636	K09765
COG0301	K03151
COG2151	K02612
COG0122	K01247
COG1516	K02422
COG1345	K02407
COG3121	K07346
COG0312	K03568
COG1575	K02548
COG2846	K07322
COG2511	K03330
COG1260	K01858
COG0483	K01092
COG1826	K03116
COG0564	K06180
COG0318	K00666
COG2876	K03856
COG0180	K01867
COG1354	K05896
COG1386	K06024
COG0283	K00945
COG0204	K00655
COG0761	K03527
COG0539	K02945
COG2223	K02575
COG1940	K00845
COG1392	K07220
COG0306	K03306
COG0142	K02523
COG0545	K03772
COG4690	K08659
COG1475	K03497
COG1192	K03496
COG1200	K03655
COG2270	K06902
COG0239	K06199
COG1993	K09137
COG0365	K01895
COG0527	K00928
COG0289	K00215
COG0329	K01714
COG0279	K03271
COG0241	K03273
COG1562	K02291
COG1109	K01840
COG1152	K00192
COG0324	K00791
COG1989	K02654
COG1951	K01677
COG3155	K05520
COG0039	K00024
COG0211	K02899
COG0261	K02888
COG1858	K00428
COG3593	K07459
COG0587	K02337
COG0162	K01866
COG0691	K03664
COG0249	K03555
COG4232	K04084
COG3688	K06962
COG4231	K00179
COG1024	K01715
COG0476	K21147
COG1519	K02527
COG0450	K03386
COG1335	K09020
COG3837	K07155
COG2154	K01724
COG1322	K09760
COG1357	K15352
COG3426	K00929
COG0079	K00817
COG0173	K01876
COG1045	K00640
COG0031	K01738
COG0012	K19788
COG0842	K13926
COG0643	K03407
COG2198	K03407
COG0835	K03408
COG0840	K03406
COG1871	K03411
COG3706	K02488
COG2199	K02488
COG1406	K03409
COG1691	K06898
COG0042	K05540
COG1259	K08999
COG0227	K02902
COG1792	K03570
COG1077	K03569
COG0138	K00602
COG0299	K11175
COG0423	K01880
COG0073	K01874
COG0143	K01874
COG0065	K01702
COG0066	K16793
COG4656	K03615
COG0634	K00760
COG0422	K03147
COG0617	K00974
COG2391	K07112
COG0798	K03325
COG1566	K03543
COG5499	K18831
COG1236	K07576
COG0405	K00681
COG0427	K18122
COG1488	K00763
COG0063	K17758
COG0062	K17758
COG5652	K20950
COG1022	K01897
COG0782	K03624
COG1983	K03973
COG0337	K01735
COG2206	K07814
COG0757	K03786
COG3146	K09919
COG1574	K07047
COG0688	K01613
COG1183	K17103
COG1828	K23264
COG0047	K23265
COG0805	K03118
COG0154	K02433
COG0064	K02434
COG4555	K09697
COG1668	K09696
COG2110	K15261
COG2379	K11529
COG2971	K18676
COG0725	K02020
COG0538	K00031
COG4692	K23083
COG0295	K01489
COG0572	K00876
COG1435	K00857
COG4359	K08966
COG1765	K07397
COG2068	K07141
COG1463	K02067
COG3444	K02794
COG2893	K02793
COG1493	K06023
COG1544	K05808
COG4974	K04763
COG0550	K03168
COG2922	K03747
COG0653	K03070
COG0639	K07313
COG0223	K00604
COG2738	K06973
COG0781	K03625
COG0144	K03500
COG2815	K08884
COG0036	K01783
COG1600	K18979
COG2027	K07259
COG3643	K00603
COG3404	K01500
COG0323	K03572
COG0623	K00208
COG2510	K08978
COG3049	K01442
COG1197	K03723
COG1247	K03823
COG1853	K16048
COG1672	K06921
COG4786	K02392
COG1256	K02396
COG3951	K02395
COG1706	K02394
COG0267	K02913
COG0690	K03073
COG0250	K02601
COG0080	K02867
COG0081	K02863
COG0244	K02864
COG0222	K02935
COG0085	K03043
COG0086	K03046
COG0048	K02950
COG0049	K02992
COG3088	K02200
COG1618	K06928
COG0078	K00611
COG0425	K04085
COG1387	K02347
COG3523	K11891
COG3455	K11892
COG3522	K11893
COG3521	K11906
COG2877	K01627
COG3294	K09163
COG4365	K22136
COG1522	K03719
COG0499	K01251
COG0192	K00789
COG2222	K15916
COG1925	K11189
COG3716	K02796
COG3715	K02795
COG0403	K00282
COG0439	K01961
COG0511	K02160
COG0231	K02356
COG3507	K06113
COG0272	K01972
COG0795	K11720
COG2153	K02348
COG2031	K02106
COG1788	K01039
COG2057	K01040
COG0183	K00626
COG0115	K00826
COG1396	K19449
