BacDive-ID	Species	Oxygen tolerance	Oxygen tolerance raw
	Wolinella sp.		
6116	Wolinella succinogenes	anaerobe	anaerobe
5868	Halarsenatibacter silvermanii	anaerobe	obligate anaerobe
154668	Lentisphaera araneosa	aerobe	aerobe
133917	Lentisphaera marina	aerobe	aerobe
751,147025,143929,150505,156911,155159,151802	Bacillus pumilus	aerobe,facultative anaerobe,microaerophile	aerobe,facultative anaerobe,microaerophile
745,1153,155041	Bacillus mycoides	aerobe,facultative anaerobe	aerobe,facultative anaerobe
684,145068,151180,151175,151174,151173,151172,150482,153016,151801,151702	Bacillus licheniformis	aerobe	aerobe
834,147266,146968,146602,145304,150765,149846,149676,149485,149159,149043,148577,156320,156084,155955,155893,155774,155666,155644,155582,155573,155362,155077,155001,154864,154767,154365,153875,153835,153788,153670,153506,153427,153370,153145,153069,153065,153064,152977,152975,152971,152935,152910,152826,152787,152784,152700,152531,151896,151854,151803,151784	Bacillus sp.	aerobe,facultative anaerobe,microaerophile	aerobe,facultative anaerobe,obligate aerobe,microaerophile
146646,146276,144931,154191,154190,154189	Bacillus cereus	aerobe	aerobe
602	Bacillus encimensis	aerobe	aerobe
	Bacillus amyloliquefaciens		
815	Bacillus smithii	aerobe	aerobe
150261,149428,149203,153228,151897	Bacillus subtilis	aerobe	aerobe,obligate aerobe
154901	Bacillus vallismortis	aerobe	aerobe
1148,1147	Bacillus infernus	anaerobe	anaerobe
	Bacillus pseudalcaliphilus		
1095,1093	Bacillus mojavensis	aerobe	aerobe
1077,156339,155923,151806,151805	Bacillus atrophaeus	aerobe	aerobe
	Bacillus thermocloacae		
1068,152441	Bacillus benzoevorans	facultative anaerobe,microaerophile	facultative anaerobe,microaerophile
144043	Bacillus thuringiensis	aerobe	aerobe
	Aneurinibacillus aneurinilyticus		
1847,134137	Bacillus halotolerans	aerobe	aerobe
1558	Anaerobacillus arseniciselenatis	anaerobe	anaerobe
	Bacillus cytotoxicus		
	Bacillus manliponensis		
	Bacillus timonensis		
	Bacillus purgationiresistens		
23706	Bacillus velezensis	aerobe	aerobe
1302	Bacillus siamensis	facultative anaerobe	facultative anaerobe
