BacDive-ID	Species	Oxygen tolerance	Oxygen tolerance raw
1299	Bacillus chungangensis	aerobe	aerobe
	Bacillus subtilis subsp. inaquosorum		
	Bacillus tianmuensis		
	Bacillus coahuilensis		
1275	Bacillus decisifrondis	aerobe	aerobe
	Bacillus taeanensis		
154545	Bacillus infantis	aerobe	aerobe
	Bacillus safensis		
130196	Bacillus altitudinis	aerobe	aerobe
1260	Bacillus alveayuensis	aerobe	aerobe
1253	Bacillus seohaeanensis	aerobe	aerobe
1239	Bacillus carboniphilus	aerobe	obligate aerobe
	Bacillus methanolicus		
1207	Bacillus acidicola	aerobe	aerobe
1201	Bacillus sonorensis	facultative anaerobe	facultative anaerobe
130191,157052,157049,153192	Bacillus thermoamylovorans	aerobe,anaerobe	aerobe,anaerobe
1187	Bacillus subtilis subsp. spizizenii	aerobe	aerobe
	Bacillus subtilis subsp. subtilis		
1154	Bacillus horti	aerobe	obligate aerobe
1151	Bacillus pseudomycoides	facultative anaerobe	facultative anaerobe
	Bacillus algeriensis		
	Bacillus pakistanensis		
	Bacillus xiamenensis		
	Bacillus fengqiuensis		
	Bacillus tianshenii		
	Bacillus solimangrovi		
	Bacillus pervagus		
134284	Bacillus isabeliae	aerobe	aerobe
134164	Bacillus tequilensis	aerobe	aerobe
134009	Bacillus songklensis	aerobe	aerobe
133977	Bacillus thermotolerans	facultative anaerobe	facultative anaerobe
133510	Bacillus canaveralius	aerobe	aerobe
133067	Bacillus capparidis	aerobe	aerobe
133012	Bacillus wiedmannii	facultative anaerobe	facultative anaerobe
	Bacillus mesophilus		
	Bacillus niameyensis		
	Bacillus rubiinfantis		
	Bacillus ndiopicus		
132385	Bacillus ectoiniformans	facultative anaerobe	facultative anaerobe
132364	Bacillus gobiensis	aerobe	aerobe
157058	Bacillus oleivorans	aerobe	aerobe
	Bacillus maroccanus		
	Bacillus badius		
140961	Bacillus pacificus	facultative anaerobe	facultative anaerobe
140965	Bacillus luti	facultative anaerobe	facultative anaerobe
140964	Bacillus mobilis	facultative anaerobe	facultative anaerobe
140963	Bacillus albus	facultative anaerobe	facultative anaerobe
140962	Bacillus tropicus	facultative anaerobe	facultative anaerobe
140960	Bacillus paranthracis	facultative anaerobe	facultative anaerobe
140881	Bacillus piscicola	aerobe	obligate aerobe
140879	Bacillus zhangzhouensis	aerobe	obligate aerobe
140878	Bacillus australimaris	aerobe	obligate aerobe
140691	Bacillus haynesii	aerobe,facultative anaerobe	aerobe,facultative anaerobe
140690	Bacillus swezeyi	aerobe,facultative anaerobe	aerobe,facultative anaerobe
140523	Bacillus nakamurai	aerobe	aerobe,obligate aerobe
140354	Bacillus wudalianchiensis	aerobe	aerobe
	Bacillus weihenstephanensis		
	Bacillus gaemokensis		
140968	Bacillus paramycoides	facultative anaerobe	facultative anaerobe
140967	Bacillus nitratireducens	facultative anaerobe	facultative anaerobe
140966	Bacillus proteolyticus	facultative anaerobe	facultative anaerobe
151002	Bacillus flavothermus	aerobe	aerobe
157145	Bacillus massiliogabonensis	aerobe	aerobe
155579	Bacillus arbutinivorans	microaerophile	microaerophile
153391,152873	Bacillus macroides	aerobe,microaerophile	aerobe,microaerophile
159795	Bacillus shivajii	aerobe	aerobe
	Bacillus manusensis		
	Bacillus kexueae		
158609	Bacillus tamaricis	facultative anaerobe	facultative anaerobe
158585	Bacillus marinisedimentorum	facultative anaerobe	facultative anaerobe
	Bacillus spongiae		
157161	Bacillus dakarensis	aerobe	aerobe
157159	Bacillus sinesaloumensis	aerobe	aerobe
157146	Bacillus phocaeensis	aerobe	aerobe
130213	Melghiribacillus thermohalophilus	aerobe	aerobe
134142	Spiroplasma leucomae	facultative anaerobe	facultative anaerobe
	Spiroplasma penaei		
14381	Spiroplasma eriocheiris	microaerophile	microaerophile
14380	Spiroplasma turonicum	microaerophile	microaerophile
14379	Spiroplasma lineolae	microaerophile	microaerophile
14378	Spiroplasma platyhelix	microaerophile	microaerophile
14377	Spiroplasma alleghenense	microaerophile	microaerophile
14376	Spiroplasma montanense	microaerophile	microaerophile
14375	Spiroplasma tabanidicola	microaerophile	microaerophile
14374	Spiroplasma helicoides	microaerophile	microaerophile
14373	Spiroplasma gladiatoris	microaerophile	microaerophile
14372	Spiroplasma chrysopicola	microaerophile	microaerophile
14371	Spiroplasma litorale	microaerophile	microaerophile
14370	Spiroplasma diabroticae	microaerophile	microaerophile
14369	Spiroplasma corruscae	microaerophile	microaerophile
14368	Spiroplasma syrphidicola	microaerophile	microaerophile
14367	Spiroplasma diminutum	microaerophile	microaerophile
14366	Spiroplasma velocicrescens	microaerophile	microaerophile
14365	Spiroplasma cantharicola	microaerophile	microaerophile
14364	Spiroplasma insolitum	microaerophile	microaerophile
14363	Spiroplasma clarkii	microaerophile	microaerophile
14362	Spiroplasma monobiae	microaerophile	microaerophile
14361	Spiroplasma chinense	microaerophile	microaerophile
14360	Spiroplasma taiwanense	microaerophile	microaerophile
14359	Spiroplasma phoeniceum	microaerophile	microaerophile
14358	Spiroplasma mirum	microaerophile	microaerophile
14357	Spiroplasma melliferum	microaerophile	microaerophile
14356	Spiroplasma kunkelii	microaerophile	microaerophile
14355	Spiroplasma floricola	microaerophile	microaerophile
14354	Spiroplasma culicicola	microaerophile	microaerophile
14353	Spiroplasma citri	microaerophile	microaerophile
2757	Terrisporobacter mayombei	anaerobe	anaerobe
2598,2597,2596	Terrisporobacter glycolicus	anaerobe	anaerobe
131514	Terrisporobacter sp.	anaerobe	anaerobe
2866	Thermohalobacter berrensis	anaerobe	anaerobe
10434	Alysiella filiformis	microaerophile	microaerophile
	Alysiella crassa		
	Aquabacterium pictum		
154354,146756	Aquabacterium sp.	aerobe,microaerophile	aerobe,microaerophile
153431,17926	Aquabacterium commune	aerobe	aerobe
145461,17927	Aquabacterium fontiphilum	aerobe,microaerophile	aerobe,microaerophile
	Aquabacterium olei		
17928	Aquabacterium limnoticum	facultative anaerobe	facultative anaerobe
17925	Aquabacterium citratiphilum	aerobe	aerobe
17924	Aquabacterium parvum	aerobe	aerobe
133960	Pustulibacterium marinum	aerobe	aerobe
140808	Seohaeicola zhoushanensis	facultative anaerobe	facultative anaerobe
24517	Seohaeicola saemankumensis	anaerobe	anaerobe
18065	Anaerovirgula multivorans	anaerobe	anaerobe
133499	Lishizhenia tianjinensis	aerobe	aerobe
	Roseivirga misakiensis		
141117	Fabivirga thermotolerans	aerobe	aerobe
140828	Roseivirga maritima	aerobe	aerobe
134178	Roseivirga spongicola	aerobe	aerobe
134177	Fabibacter halotolerans	aerobe	aerobe
134138	Roseivirga echinicomitans	aerobe	aerobe
	Roseivirga seohaensis subsp. aquiponti		
133262	Roseivirga ehrenbergii	aerobe	aerobe
131264	Fabibacter pacificus	aerobe	aerobe
140946	Belliella buryatensis	aerobe	aerobe
	Belliella kenyensis		
24721	Belliella pelovolcani	aerobe	aerobe
17716	Belliella baltica	aerobe	aerobe
23100	Methylotenera versatilis	facultative anaerobe	facultative anaerobe
	Methylotenera mobilis		
2872	Proteiniclasticum ruminis	anaerobe	anaerobe
156429	Methyloligella solikamskensis	aerobe	aerobe
24751	Methyloligella halotolerans	aerobe	aerobe
158275	Phaeobacter piscinae	aerobe	aerobe
13731	Phaeobacter inhibens	aerobe	aerobe
	Phaeobacter gallaeciensis		
140086	Phaeobacter porticola	aerobe	aerobe
13848	Phaeobacter italicus	aerobe	aerobe
	Haloferax namakaokahaiae		
	Haloferax chudinovii		
24081	Haloferax mucosum	aerobe	aerobe
24080	Haloferax elongans	aerobe	aerobe
	Haloferax alexandrinus		
	Haloferax sp.		
24077	Haloferax larsenii	aerobe	aerobe
	Haloferax prahovense		
	Haloferax sulfurifontis		
	Haloferax lucentense		
	Haloferax volcanii		
	Haloferax mediterranei		
	Haloferax gibbonsii		
	Haloferax denitrificans		
159849	Mesorhizobium ephedrae	aerobe	aerobe
159737	Mesorhizobium sanjuanii	aerobe	aerobe
158821	Mesorhizobium wenxiniae	aerobe	aerobe
	Mesorhizobium ciceri		
	Mesorhizobium sophorae		
	Mesorhizobium newzealandense		
	Mesorhizobium waitakense		
	Mesorhizobium kowhaii		
	Mesorhizobium calcicola		
140989	Mesorhizobium oceanicum	aerobe	aerobe
140544	Mesorhizobium helmanticense	aerobe	aerobe
	Mesorhizobium amorphae		
134371	Mesorhizobium caraganae	aerobe	aerobe
134078	Mesorhizobium gobiense	aerobe	aerobe
134077	Mesorhizobium tarimense	aerobe	aerobe
133665	Mesorhizobium temperatum	aerobe	aerobe
133664	Mesorhizobium septentrionale	aerobe	aerobe
133553	Mesorhizobium alhagi	aerobe	aerobe
	Mesorhizobium australicum		
	Mesorhizobium opportunistum		
133439	Mesorhizobium metallidurans	aerobe	aerobe
133271	Mesorhizobium japonicum	aerobe	aerobe
133222	Mesorhizobium sediminum	aerobe	aerobe
	Mesorhizobium sp.		
	Mesorhizobium shonense		
	Mesorhizobium abyssinicae		
130533	Mesorhizobium sangaii	aerobe	aerobe
130532	Mesorhizobium qingshengii	aerobe	aerobe
	Mesorhizobium hawassense		
130530	Mesorhizobium muleiense	aerobe	aerobe
130529	Mesorhizobium silamurunense	aerobe	aerobe
	Mesorhizobium camelthorni		
130527	Mesorhizobium robiniae	aerobe	aerobe
	Mesorhizobium tamadayense		
11895	Mesorhizobium shangrilense	aerobe	aerobe
11894	Mesorhizobium albiziae	aerobe	aerobe
	Mesorhizobium plurifarium		
	Mesorhizobium chacoense		
11890	Mesorhizobium thiogangeticum	aerobe	aerobe
	Mesorhizobium tianshanense		
	Mesorhizobium mediterraneum		
	Mesorhizobium huakuii		
	Mesorhizobium loti		
	Leminorella richardii		
	Leminorella grimontii		
13926	Rhodocyclus tenuis	anaerobe	anaerobe
13925	Rhodocyclus purpureus	anaerobe	anaerobe
156454,1823	Rhodopseudomonas sp.	aerobe,anaerobe	aerobe,anaerobe
140728	Rhodopseudomonas telluris	facultative aerobe	facultative aerobe
	Rhodopseudomonas faecalis		
133804	Rhodopseudomonas thermotolerans	anaerobe	anaerobe
133803	Rhodopseudomonas pentothenatexigens	anaerobe	anaerobe
1820	Rhodopseudomonas parapalustris	anaerobe	anaerobe
	Rhodopseudomonas harwoodiae		
1822,1821,1819	Rhodopseudomonas palustris	anaerobe	anaerobe
1828	Rhodopseudomonas pseudopalustris	anaerobe	anaerobe
1827	Rhodopseudomonas rhenobacensis	anaerobe	anaerobe
1826	Rhodopseudomonas julia	anaerobe	anaerobe
4210	Desulfuromusa ferrireducens	anaerobe	anaerobe
4209	Desulfuromusa succinoxidans	anaerobe	anaerobe
4208	Desulfuromusa bakii	anaerobe	anaerobe
4207,4206	Desulfuromusa kysingii	anaerobe	anaerobe
2660,2662,2661	Clostridium sardiniense	anaerobe	anaerobe
2659,2658	Clostridium saccharoperbutylacetonicum	anaerobe	anaerobe
2656,2655	Clostridium roseum	anaerobe	anaerobe
2653,130927,130926,148608,154479,152520	Clostridium ramosum	anaerobe	anaerobe
2652	Clostridium putrefaciens	anaerobe	anaerobe
2651,2629,2535,507,2732,2702,2701,2700,2699,2698,2697,2696,2695,2692,2691,2690,2689,2688,2687,2686,2685,2684,2683,2682,2681,2679,2678,2677,2676,2674,2673,2672,2671,2669,2668,2667,130931,130930,130245,130244,130243,23857,23856,22964,141807,150915,150862,150469,147898,147484,143921,143920,143919,155323,154333,153642,153641,153640,153399,153214,152890,152889,152682,151322,150916	Clostridium sp.	anaerobe,microaerotolerant,aerotolerant,microaerophile	microaerotolerant,anaerobe,obligate anaerobe,microaerophile,aerotolerant
2649	Clostridium puniceum	anaerobe	anaerobe
2645	Clostridium polysaccharolyticum	anaerobe	anaerobe
2644,2643,2642,2641,2640,2639,2638,2637,2636,2635,2634,2633,2632,2631,2630,130925,130924,141763,141460,141459,138119,136487,135929,150893,150860,150576,150183,150123,150006,149024,147489,156004,155386,154898,152887,152872	Clostridium perfringens	anaerobe	anaerobe,obligate anaerobe
2628,2627,2626	Clostridium pasteurianum	anaerobe	anaerobe
2625,2624,2623,156920	Clostridium paraputrificum	anaerobe	anaerobe
2620	Clostridium oceanicum	anaerobe	anaerobe
2619	Clostridium nexile	anaerobe	anaerobe
2617	Clostridium malenominatum	anaerobe	anaerobe
2616,2615	Clostridium magnum	anaerobe	anaerobe
2612	Clostridium leptum	anaerobe	anaerobe
2611,2610,2609,2608,2607,2606	Clostridium kluyveri	anaerobe	anaerobe
2604,2603,130922,130921,155352,152489	Clostridium innocuum	anaerobe	anaerobe
2595,2594,2593,2592,2591,2590,2589,2587	Clostridium formicaceticum	anaerobe	anaerobe
2586	Clostridium felsineum	anaerobe	anaerobe
2585	Clostridium fallax	anaerobe	anaerobe
2581,2579,2577,2540	Clostridium cylindrosporum	anaerobe	anaerobe
2576	Clostridium collagenovorans	anaerobe	anaerobe
2575	Clostridium cocleatum	anaerobe	anaerobe
2574,2573,2572,2571,2570,130920,152177	Clostridium cochlearium	anaerobe	anaerobe
2568	Clostridium cellulovorans	anaerobe	anaerobe,obligate anaerobe
2566	Clostridium celatum	anaerobe	anaerobe
2565	Clostridium carnis	anaerobe	anaerobe
2564,155180	Clostridium cadaveris	anaerobe	anaerobe
2563,2562,2561,2560,23852,152779	Clostridium butyricum	anaerobe	anaerobe
2555,2554,2553,2552,2551,2550,2549,2548,2547	Clostridium beijerinckii	anaerobe	anaerobe
2546,2545,2544	Clostridium baratii	anaerobe	anaerobe
2543	Clostridium aurantibutyricum	anaerobe	anaerobe
2536,2534,2533,2532,2531,2530,2529	Clostridium acetobutylicum	anaerobe	anaerobe
2528	Clostridium aceticum	anaerobe	anaerobe
2518	Caloramator fervidus	anaerobe	anaerobe
2499	Clostridium polyendosporum	anaerobe	anaerobe
2787	Clostridium aminophilum	anaerobe	anaerobe
2786	Clostridium acetireducens	anaerobe	anaerobe
2785,2784,2783,2782	Clostridium pascui	anaerobe	anaerobe
2781	Clostridium autoethanogenum	anaerobe	anaerobe
2780	Clostridium viride	anaerobe	anaerobe
2779,2778	Clostridium uzonii	anaerobe	anaerobe
2776	Clostridium estertheticum subsp. estertheticum	anaerobe	anaerobe
2775	Clostridium grantii	anaerobe	anaerobe
2774	Clostridium thermoalcaliphilum	anaerobe	anaerobe
2772,150202,156415,153787,153449,152493	Clostridium septicum	anaerobe	anaerobe
2771,2770	Clostridium paradoxum	anaerobe	anaerobe
2769,141462	Clostridium chauvoei	anaerobe	anaerobe
2768	Clostridium quinii	anaerobe	anaerobe
2766	Clostridium chartatabidum	anaerobe	anaerobe
2763	Clostridium thermopalmarium	anaerobe	anaerobe
2762,2761	Clostridium populeti	anaerobe	anaerobe
2756,2755	Clostridium intestinale	anaerobe	anaerobe
2754	Clostridium colinum	anaerobe	anaerobe
2753	Clostridium homopropionicum	anaerobe	anaerobe
2752,2751,2750,2749	Clostridium thermosuccinogenes	anaerobe	anaerobe
2748	Clostridium scindens	anaerobe	anaerobe
2747,2746,157189,156614	Clostridium novyi	anaerobe	anaerobe
2745,142099	Clostridium haemolyticum	anaerobe	anaerobe
2744	Clostridium disporicum	anaerobe	anaerobe
2743	Clostridium methylpentosum	anaerobe	anaerobe
2740	Maledivibacter halophilus	anaerobe	anaerobe
2739	Clostridium thermobutyricum	anaerobe	anaerobe
2738,2737,2736,2735	Clostridium tyrobutyricum	anaerobe	anaerobe
2727,2726,2725	Clostridium tetanomorphum	anaerobe	anaerobe
2724,2723,2722,150841,150661,149806,149781,148976,147833,146664,146539,145829,144837,156644,156249,155597,154880,153980,152821,151207	Clostridium tertium	aerobe,anaerobe,aerotolerant,microaerophile	aerobe,anaerobe,aerotolerant,microaerophile
2721,130933,156494,155139,153779,153644,153376,152023	Clostridium symbiosum	anaerobe	anaerobe
2720,2719,2718	Clostridium subterminale	anaerobe	anaerobe
2716	Clostridium sporosphaeroides	anaerobe	anaerobe
2715,2714,2713,2712,2711,2710,2709,2708,2707,130932,156952,154094,153019,152930,152722	Clostridium sporogenes	anaerobe	anaerobe
2706	Clostridium spiroforme	anaerobe	anaerobe
2665	Clostridium scatologenes	anaerobe	anaerobe
2664,2663	Clostridium sartagoforme	anaerobe	anaerobe
131554	Clostridium punense	anaerobe	anaerobe
131553	Clostridium luticellarii	anaerobe	anaerobe
131500	Clostridium jeddahense	anaerobe	anaerobe
131499,150772,157224	Clostridium saudiense	anaerobe	anaerobe
131494	Clostridium polynesiense	anaerobe	anaerobe
131410	Clostridium amazonense	anaerobe	anaerobe
131404	Clostridium ihumii	anaerobe	anaerobe
130929,140317	Clostridium tepidum	anaerobe	anaerobe
130250	Clostridium oryzae	anaerobe	anaerobe
130249	Clostridium swellfunianum	anaerobe	anaerobe
130248	Clostridium algifaecis	anaerobe	anaerobe
2812	Clostridium isatidis	anaerobe	anaerobe
2799	Clostridium akagii	anaerobe	anaerobe
	Clostridium estertheticum		
23860	Clostridium bornimense	anaerobe	anaerobe
23859	Clostridium geopurificans	anaerobe	anaerobe
23858	Clostridium dakarense	anaerobe	anaerobe
18050,18049	Thermoanaerobacterium thermosulfurigenes	anaerobe	anaerobe
5445	Clostridium tarantellae	anaerobe	anaerobe
5436	Clostridium nitritogenes	anaerobe	anaerobe
5434	Clostridium moniliforme	anaerobe	anaerobe
5421	Clostridium combesii	anaerobe	anaerobe
5419	Clostridium budayi	anaerobe	anaerobe
2859	Clostridium senegalense	anaerobe	anaerobe
2858	Clostridium chromiireducens	anaerobe	anaerobe
2857	Clostridium arbusti	anaerobe	anaerobe
2856	Clostridium hydrogeniformans	anaerobe,facultative anaerobe	anaerobe,facultative anaerobe
2855	Clostridium cavendishii	anaerobe,facultative anaerobe	anaerobe,facultative anaerobe
2852	Clostridium sulfidigenes	anaerobe	anaerobe
2851	Clostridium tagluense	anaerobe	anaerobe
2850	Clostridium amylolyticum	anaerobe	anaerobe
2847	Clostridium nitrophenolicum	anaerobe	anaerobe
2846	Clostridium aestuarii	anaerobe	anaerobe
2845	Clostridium tepidiprofundi	anaerobe	anaerobe
2842	Clostridium ganghwense	anaerobe	anaerobe
2841	Clostridium phytofermentans	anaerobe	anaerobe,obligate anaerobe
2838	Acetivibrio alkalicellulosi	anaerobe	anaerobe
2837,2836	Clostridium drakei	anaerobe	anaerobe,obligate anaerobe
2834	Clostridium saccharogumia	anaerobe	anaerobe
2833	Clostridium aciditolerans	anaerobe	anaerobe
2832	Clostridium schirmacherense	anaerobe	anaerobe
2831	Clostridium lundense	anaerobe	anaerobe
2828	Clostridium algoriphilum	anaerobe	anaerobe
2825	Clostridium psychrophilum	anaerobe	anaerobe
2824	Clostridium bowmanii	anaerobe	anaerobe
2823	Clostridium lacusfryxellense	anaerobe	anaerobe
2822	Clostridium frigoris	anaerobe	anaerobe
2820	Clostridium colicanis	anaerobe	anaerobe
2819	Clostridium diolis	anaerobe	anaerobe
2818	Clostridium ragsdalei	anaerobe	anaerobe
2817	Clostridium carboxidivorans	anaerobe	anaerobe
2816	Clostridium thiosulfatireducens	anaerobe	anaerobe
2814	Clostridium tunisiense	anaerobe	anaerobe
2813	Clostridium algidicarnis	anaerobe	anaerobe
2811	Clostridium hylemonae	anaerobe	anaerobe
2807	Clostridium estertheticum subsp. laramiense	anaerobe	anaerobe
2805	Clostridium saccharobutylicum	anaerobe	anaerobe
2804	Clostridium herbivorans	anaerobe	anaerobe
2802	Clostridium ljungdahlii	anaerobe	anaerobe
2801	Clostridium peptidivorans	anaerobe	anaerobe
2800	Clostridium acidisoli	anaerobe	anaerobe
2796	Clostridium uliginosum	anaerobe	anaerobe
2793	Clostridium gasigenes	anaerobe	anaerobe
2792,156651	Clostridium frigidicarnis	anaerobe	anaerobe
2791,2790,141639,154093	Clostridium tetani	anaerobe	anaerobe
2789	Clostridium vincentii	anaerobe	anaerobe
2788	Clostridium fimetarium	anaerobe	anaerobe
141868,141867,141845,149343,146791	Clostridium botulinum	anaerobe	anaerobe,obligate anaerobe
	Clostridium merdae		
159785,157215	Clostridium neonatale	anaerobe	anaerobe,obligate anaerobe
133372	Clostridium guangxiense	anaerobe	obligate anaerobe
	Clostridium vulturis		
132388	Clostridium liquoris	anaerobe	obligate anaerobe
	Clostridium cellulosi		
	unclassified bacterium		
159814	Clostridium composti	anaerobe	obligate anaerobe
159739	Clostridium bovifaecis	anaerobe	anaerobe
159644	Clostridium beihaiense	anaerobe	anaerobe
	Clostridium porci		
158307	Clostridium pabulibutyricum	anaerobe	anaerobe
	Clostridium argentinense		
141	Bryocella elongata	aerobe	aerobe
	Aerosticca soli		
140308	Mobilicoccus caccae	facultative anaerobe	facultative anaerobe
	Mobilicoccus pelagius		
	Pseudoalteromonas piscicida		
156269,148622	Pseudoalteromonas sp.	aerobe	aerobe
156314,156312	Pseudoalteromonas atlantica	aerobe	aerobe
	Pseudoalteromonas aestuariivivens		
140827	Pseudoalteromonas fenneropenaei	aerobe	aerobe
140699	Pseudoalteromonas piratica	aerobe	obligate aerobe
140626	Pseudoalteromonas neustonica	facultative anaerobe	facultative anaerobe
	Pseudoalteromonas xishaensis		
	Pseudoalteromonas ruthenica		
	Pseudoalteromonas antarctica		
	Pseudoalteromonas haloplanktis		
	Pseudoalteromonas luteoviolacea		
134146	Pseudoalteromonas byunsanensis	aerobe	aerobe
134140	Pseudoalteromonas spongiae	aerobe	aerobe
133879	Pseudoalteromonas arabiensis	aerobe	aerobe
133216	Pseudoalteromonas profundi	aerobe	aerobe
132999	Pseudoalteromonas gelatinilytica	aerobe	aerobe
	Pseudoalteromonas hodoensis		
	Pseudoalteromonas maricaloris		
448	Pseudoalteromonas fuliginea	aerobe	obligate aerobe
131080	Pseudoalteromonas elyakovii	aerobe	aerobe
	Pseudoalteromonas distincta		
	Brevundimonas sp.		
12702	Pseudoalteromonas lipolytica	aerobe	aerobe
12701	Pseudoalteromonas arctica	aerobe	aerobe
	Pseudoalteromonas marina		
	Pseudoalteromonas aliena		
	Pseudoalteromonas spiralis		
	Pseudoalteromonas telluritireducens		
	Pseudoalteromonas issachenkonii		
	Pseudoalteromonas mariniglutinosa		
	Pseudoalteromonas ulvae		
	Pseudoalteromonas agarivorans		
	Pseudoalteromonas paragorgicola		
	Pseudoalteromonas translucida		
	Pseudoalteromonas flavipulchra		
	Pseudoalteromonas prydzensis		
	Pseudoalteromonas tunicata		
	Pseudoalteromonas peptidolytica		
	Pseudoalteromonas tetraodonis		
	Pseudoalteromonas espejiana		
	Pseudoalteromonas carrageenovora		
	Pseudoalteromonas undina		
	Pseudoalteromonas rubra		
	Pseudoalteromonas denitrificans		
	Pseudoalteromonas citrea		
	Pseudoalteromonas aurantia		
18096,18095	Archaeoglobus fulgidus	anaerobe	anaerobe
18100	Archaeoglobus sulfaticallidus	anaerobe	anaerobe
18099	Archaeoglobus infectus	anaerobe	anaerobe
18098	Archaeoglobus veneficus	anaerobe	anaerobe
18097	Archaeoglobus profundus	anaerobe	anaerobe
157044,156295,153639,153628,146837,146452	Helcococcus kunzii	microaerophile	microaerophile
156392	Helcococcus sp.	microaerophile	microaerophile
154978,17992	Helcococcus sueciensis	anaerobe,facultative anaerobe,microaerophile	anaerobe,facultative anaerobe,microaerophile
17991	Helcococcus ovis	anaerobe,microaerophile	anaerobe,microaerophile
159784	Salegentibacter sediminis	aerobe	aerobe
156749	Salegentibacter chungangensis	aerobe	aerobe
5640	Salegentibacter flavus	aerobe	aerobe
	Salegentibacter echinorum		
5645	Salegentibacter salinarum	aerobe	aerobe
5644	Salegentibacter salarius	aerobe	aerobe
5643	Salegentibacter agarivorans	aerobe	aerobe
	Salegentibacter mishustinae		
5641	Salegentibacter holothuriorum	aerobe	aerobe
	Salegentibacter salegens		
133342	Oryzomicrobium terrae	facultative anaerobe	facultative anaerobe
140590	Sulfodiicoccus acidiphilus	aerobe	aerobe
2660,2662,2661	Clostridium sardiniense	anaerobe	anaerobe
2659,2658	Clostridium saccharoperbutylacetonicum	anaerobe	anaerobe
2656,2655	Clostridium roseum	anaerobe	anaerobe
2653,130927,130926,148608,154479,152520	Clostridium ramosum	anaerobe	anaerobe
2652	Clostridium putrefaciens	anaerobe	anaerobe
2651,2629,2535,507,2732,2702,2701,2700,2699,2698,2697,2696,2695,2692,2691,2690,2689,2688,2687,2686,2685,2684,2683,2682,2681,2679,2678,2677,2676,2674,2673,2672,2671,2669,2668,2667,130931,130930,130245,130244,130243,23857,23856,22964,141807,150915,150862,150469,147898,147484,143921,143920,143919,155323,154333,153642,153641,153640,153399,153214,152890,152889,152682,151322,150916	Clostridium sp.	anaerobe,microaerotolerant,aerotolerant,microaerophile	microaerotolerant,anaerobe,obligate anaerobe,microaerophile,aerotolerant
2649	Clostridium puniceum	anaerobe	anaerobe
2645	Clostridium polysaccharolyticum	anaerobe	anaerobe
2644,2643,2642,2641,2640,2639,2638,2637,2636,2635,2634,2633,2632,2631,2630,130925,130924,141763,141460,141459,138119,136487,135929,150893,150860,150576,150183,150123,150006,149024,147489,156004,155386,154898,152887,152872	Clostridium perfringens	anaerobe	anaerobe,obligate anaerobe
2628,2627,2626	Clostridium pasteurianum	anaerobe	anaerobe
2625,2624,2623,156920	Clostridium paraputrificum	anaerobe	anaerobe
2620	Clostridium oceanicum	anaerobe	anaerobe
2619	Clostridium nexile	anaerobe	anaerobe
2617	Clostridium malenominatum	anaerobe	anaerobe
2616,2615	Clostridium magnum	anaerobe	anaerobe
2612	Clostridium leptum	anaerobe	anaerobe
2611,2610,2609,2608,2607,2606	Clostridium kluyveri	anaerobe	anaerobe
2604,2603,130922,130921,155352,152489	Clostridium innocuum	anaerobe	anaerobe
2595,2594,2593,2592,2591,2590,2589,2587	Clostridium formicaceticum	anaerobe	anaerobe
2586	Clostridium felsineum	anaerobe	anaerobe
